time_published,title,summary,overall_sentiment_score,relevance_score
20220221T172655,"Most Notable Earnings for the Week Starting Feb 21, 2022","This article outlines the highly anticipated earnings releases for the week beginning February 21, 2022, featuring major companies like EBAY, BABA, and MRNA. It provides a daily breakdown of companies reporting, their respective sectors, and earnings call timings, serving as a guide for investors during earnings season. The piece also suggests using TipRanks' tools for deeper analysis into these stocks.",0.06974,0.941122
20220224T120900,E-commerce: EBay forecasts bleak quarter as pandemic-driven online demand wanes,"EBay Inc. forecasts a challenging first quarter with lower-than-expected profits and revenue due to waning online demand, increased competition, and supply chain issues. The company's shares fell significantly as the pandemic-driven e-commerce boom subsides and consumers return to in-person shopping, mirroring a trend also seen by Amazon. Despite this, eBay's fourth-quarter results exceeded analyst estimates for profit and revenue, though gross merchandise volume and active buyers declined.",-0.395961,1.0
20220224T121400,Alibaba Plans for New Normal of Low Growth as Crackdown Bites,"Alibaba is shifting its strategy to focus on user retention rather than aggressive market-share expansion, following over a year of regulatory crackdowns in China's internet sector. This change comes as the company reported its slowest revenue growth since its IPO, highlighting the significant financial impact of Beijing's policies on its technology sector. CEO Daniel Zhang outlined this new approach, prioritizing existing users over new acquisitions.",-0.262143,0.626877
20220308T133312,Celebrating eBay’s Women Sellers,"In celebration of International Women's Day and Women’s History Month, eBay highlights inspiring female sellers on its platform. The article shares stories of women entrepreneurs from the UK, Indonesia, and the US who have built successful businesses selling diverse products, from African-inspired jewelry to custom motorcycle helmets and beauty products. These stories demonstrate how eBay empowers women to achieve their financial goals and pursue their passions.",0.44031,1.0
20220310T132938,Traction on Demand’s Greg Malpass on the Salesforce offer he couldn’t refuse,"Greg Malpass, founder and CEO of Traction on Demand, sold his company to Salesforce after 15 years, despite previously resisting acquisition offers. The deal, which has an undisclosed sale price but is expected to generate US$75 million in revenue for Salesforce in 2023, was an ""incredible opportunity"" that Malpass felt accountable to his employees to pursue. Traction on Demand, a Salesforce partner with 1,500 global employees, will become part of Salesforce Professional Services, with Malpass focused on a smooth integration before exploring his next steps within the larger company.",0.194044,0.60377
20220310T133312,"eBay Hosts Investor Day, Outlines Long-Term Strategy to Build eBay for the Future","eBay Inc. hosted its first Investor Day under CEO Jamie Iannone, detailing its long-term growth strategy and new initiatives. The company previewed the ""eBay Vault"" for secure storage and trading of collectibles and luxury goods, and introduced its first digital wallet for customer convenience. eBay also provided a business outlook with guidance for 2022 and projections for 2023 and 2024, emphasizing a tech-led reimagination of the platform.",0.462885,1.0
20220311T133313,"eBay expects revenue growth of up to 6% in 2023, launches digital wallet","E-commerce company eBay (EBAY.O) anticipates revenue growth of 5% to 6% in fiscal 2023 and introduced its first digital wallet to allow customers to use sales proceeds for purchases or expenses. The company also launched eBay Vault for trading cards and collectibles, despite facing stiff competition from rivals like Amazon and waning online demand. eBay forecasts higher revenue and adjusted profit growth for fiscal 2024.",0.042886,1.0
20220311T163617,eBay To Launch its Own Digital Wallet and other Digital Transactions News briefs from 3/11/22,"eBay announced the launch of its own digital wallet to allow sellers to use sales proceeds for purchases or expenses. Western Union, Discover, and Cleverbridge have suspended operations in Russia and Belarus following the invasion of Ukraine. New data also shows an increase in Visa spending momentum and the growing adoption of Buy Now, Pay Later options.",-0.292557,1.0
20220312T090600,Russia attacks Ukraine: eBay blocking all transactions involving addresses in Russia,"Online auction site eBay has temporarily halted all transactions involving Russian addresses and some transactions involving Ukrainian addresses due to service interruptions by payment vendors and shipping carriers. This action aligns with other major companies suspending operations in Russia following its invasion of Ukraine. eBay is also supporting Ukrainian sellers by waiving fees and protecting them from penalties, and allowing customers to donate to relief organizations.",0.030383,0.337185
20220312T133312,San Jose-Based EBay Suspends Transactions to Russian Addresses,"EBay, the San Jose-based e-commerce giant, has temporarily suspended all transactions involving Russian addresses due to service interruptions from payment vendors and shipping carriers. The company stated its support for Ukraine, waiving seller fees, protecting sellers from late shipment penalties, and matching employee donations to Ukrainian support organizations. Additionally, eBay has removed all products promoting Vladimir Putin, allowing only historical or educational related materials.",-0.232618,1.0
20220313T163617,eBay Ventures Offers Venture Capital To Innovative Founders,"eBay Ventures, the venture capital arm of eBay Inc., offers funding and strategic expertise to innovative founders in areas adjacent to eBay's core business. The firm has made its first investment in Norwegian second-hand marketplace Tise, backing it in a $20 million funding round. eBay Ventures aims to support startups that can bring new value, expand business, and provide a competitive advantage, reflecting eBay's ""build, buy, or partner"" strategy.",0.025305,1.0
20220314T133312,eBay Wallet & New Payments Features,"eBay announced new payment features, including a digital wallet launching in Q2 2022 to allow ""spendable funds"" for purchases and fees, replacing functions previously offered by PayPal. The company is also rolling out additional payout schedules, exploring working capital financial products, and partnering with Chase Freedom for cashback. Additionally, eBay Ventures has been revealed as a new multi-stage investment firm focusing on e-commerce startups.",0.216724,1.0
20220314T133312,"EBay creates digital wallet, plans storage vault for collectibles","EBay announced the launch of its first digital wallet for users to manage sales revenue and a forthcoming EBay Vault, a storage facility for trading cards and other collectibles, with plans to expand to luxury goods. These initiatives aim to enhance trust in the marketplace and expand payment capabilities, building on prior authentication efforts for high-value items. The company expects the EBay Vault to secure up to $3 billion in assets, positioning it as a significant global non-governmental asset warehouse, and is also addressing counterfeiting concerns with increased seller transparency.",0.423308,1.0
20220316T133500,Tradesy online fashion marketplace acquired,"The online fashion marketplace Tradesy has been acquired, a move that highlights a shared ambition to accelerate the growth of the circular fashion economy. This acquisition comes as the global market value for secondhand and resale apparel was estimated at $36 billion in 2021.",0.217192,0.619623
20220318T132828,"Update: $12,550 manmade diamond sale to benefit thousands of Americans in need","The article details the sale of ""The Ranch Diamond,"" a lab-grown diamond made from Hidden Valley Ranch Seasoning, which fetched $12,550 on eBay. All proceeds from the sale are being donated to Feeding America, providing at least 10 meals for every dollar raised. This unique diamond was created by The Clorox Company to celebrate National Ranch Day and highlights an innovative method of diamond creation using carbon from buttermilk and milk.",0.242024,0.725846
20220329T164151,"Consumers Will Increase Gift Card Purchases in 2022, a Fiserv Study Says","A Fiserv Inc. study indicates that consumers will increase gift card purchases in 2022, primarily due to inflation, supply-chain shortages, and their perception of gift cards as an appropriate alternative to tangible gifts. The study highlights interest in both physical and digital gift cards, with birthdays being the most popular occasion for giving, and Visa Inc. and American Express Co. cards being the most popular brands. Promotions are also expected to drive gift card sales.",0.426535,0.556778
20220405T132200,Opinion: Twitter put Elon Musk on the board so he wouldn’t pull another Tesla,"Twitter appointed Elon Musk to its board, preventing a potential hostile takeover. This move avoids a repeat of what happened at Tesla, where Musk became the largest shareholder and eventually took control, despite not being a founder. The board seat agreement also restricts Musk from acquiring more than 15% of Twitter's stock.",0.130357,0.727824
20220407T124412,11 Etsy sellers explain why they're going on strike,"Thousands of Etsy sellers are planning a week-long strike starting April 11th in protest of Etsy's recent fee increase and other policy changes. The strike, organized through Coworker.org, seeks to pressure Etsy to address issues such as rising fees, the ""Star Seller"" program, mandatory offsite ads, and the presence of mass-produced items on the platform, which sellers argue undermine the handmade ethos of Etsy. Many sellers feel that Etsy has prioritized shareholder profits over the small businesses that built its reputation.",-0.141149,0.613738
20220407T170500,"Live Nation Entertainment Inc. stock rises Thursday, still underperforms market","Live Nation Entertainment Inc. (LYV) saw a slight increase of 0.03% in its stock price on Thursday, closing at $109.61, despite a strong performance by the overall stock market. The stock remains $18.14 below its 52-week high, and its trading volume was lower than its 50-day average. The company's performance was mixed when compared to competitors like eBay Inc. and World Wrestling Entertainment Inc. Cl A.",0.130115,0.727964
20220409T124249,New eBay Study Finds Gen Z is Driving the Demand for Recommerce,"A new eBay study reveals that Gen Z is a primary driver behind the growing demand for recommerce, both as buyers and sellers of secondhand goods. The report highlights that economic opportunity and sustainability are key motivations for participation, with many consumers choosing to sell pre-owned items for extra cash and to support the circular economy. This trend not only creates economic opportunities but also contributes to a more sustainable future by extending the life of products.",0.46829,1.0
20220411T165603,The Biggest Reveals from Bitcoin 2022,"The Bitcoin 2022 conference in Miami highlighted the early stage of Bitcoin adoption, with comparisons drawn to the internet in 1995. Key announcements included Robinhood rolling out crypto wallets and Lightning Network integration, new jurisdictions like Prospera (Honduras) and Madeira adopting Bitcoin as legal tender, and Strike partnering with major point-of-sale systems like Shopify and McDonald's to facilitate Bitcoin payments. The article emphasizes Bitcoin's potential for mass adoption and its disruptive impact on payment processing.",0.212737,0.607011
20220412T052000,"eBay, Ericsson and others: Several more companies impose sanctions against Russia","Several more companies, including eBay, Ericsson, Celonis, JetBrains, and ICEYE, have joined sanctions against Russia following the invasion of Ukraine. These companies have halted activities, deliveries, sales, and services in the Russian market, with some also affecting Belarus. Ericsson, for example, is placing employees on paid leave and reserving SEK 0.9 billion for expenses due to the indefinite suspension of its operations.",-0.206327,1.0
20220413T124249,eBay Names Eddie Garcia Chief Product Officer,"eBay Inc. has appointed Eddie Garcia as its new Chief Product Officer, effective April 18, 2022. Garcia will lead eBay's Core Product organization, focusing on delivering an improved customer experience as part of the company's tech-led reimagination. He rejoins eBay with over two decades of product leadership experience, having previously worked at Meta, Travelzoo, and Sam's Club.",0.479919,1.0
20220413T124249,eBay Appoints Eddie Garcia As Next Chief Product Officer,"eBay has announced the appointment of Eddie Garcia as its new Chief Product Officer, succeeding Pete Thompson. Garcia, who previously worked at eBay from 2003-2014, returns to the company after serving as CPO at Sam's Club and Head of Commerce at Facebook/Meta. He will lead eBay's Core Product organization, focusing on delivering a streamlined and world-class customer experience as part of the company's tech-led reimagination.",0.077333,1.0
20220414T163617,eBay Motors Kicks Off Its Inaugural 'New York Auto Parts Show' To Meet the Demands of a Strained Market,"eBay Motors launched its first 'New York Auto Parts Show' to address supply chain challenges by demonstrating how car enthusiasts can build, fix, or maintain their dream cars using parts and accessories. The show features ""Re-Concept Cars"" created in partnership with top auto builders and actress Sydney Sweeney, showcasing how existing vehicles can be given new life. This initiative highlights eBay Motors' role in providing hard-to-find parts for DIY enthusiasts and professional mechanics.",0.399588,1.0
20220414T163617,Ebay names new chief product officer,"Ebay Inc. has announced the appointment of Eddie Garcia as its new chief product officer, effective April 18, 2022. Garcia, who previously held roles at Meta, Travelzoo, and Sam's Club, is returning to Ebay's product organization where he worked from 2003-2014. He will lead Ebay's core product organization and report directly to CEO Jamie Iannone.",0.425955,1.0
20220419T124249,Former eBay security director to plead guilty to cyberstalking,"A former eBay security director, Jim Baugh, is set to plead guilty to leading a cyberstalking campaign against a couple who ran a website critical of eBay. This announcement comes after five other former eBay employees already admitted their roles in the cross-country harassment scheme, which involved sending bizarre and threatening items to the couple. The campaign stemmed from the website's reporting on eBay's then-CEO's compensation package.",-0.406573,1.0
20220419T124958,The Home Depot Names Matt Carey EVP of Customer Experience; Fahim Siddiqui Named EVP and Chief Information Officer,"The Home Depot announced two key executive appointments: Matt Carey has been named EVP of Customer Experience, a newly created role focusing on enhancing seamless customer interactions across all platforms. Concurrently, Fahim Siddiqui has been appointed EVP and Chief Information Officer, responsible for the company's technology strategy and infrastructure. These appointments aim to further Home Depot's commitment to customer-centric technology innovation and an interconnected shopping experience.",0.18175,0.604866
20220420T123019,"Pari Sawant has been appointed Chief Product Officer at Elavon, Inc.","Pari Sawant has been appointed Chief Product Officer at Elavon, Inc., where he will oversee global product management with over 20 years of experience in consumer, SMB, and enterprise software. Sawant previously led the Document Cloud business and AI capabilities for Adobe.com, and held senior roles at Fiserv, MetricStream, eBay, and Hewlett-Packard. He holds an MBA from UC Berkeley and a Master's in Computer Science from SUNY Binghamton.",0.226101,0.601113
20220421T124958,Home Depot names company vet to CIO role,"Home Depot has announced the appointment of Matt Carey as the new executive vice president of customer experience and Fahim Siddiqui as the new executive vice president and chief information officer. Carey will lead strategies to enhance customer experience in stores and digital channels, while Siddiqui will manage digital strategy, infrastructure, and software development. Both promotions highlight Home Depot's focus on internal talent and technology to improve customer interaction and differentiate itself in the home improvement market.",0.193296,0.649409
20220422T124249,Meet eBay’s Chief Sustainability Officer,"This article features an interview with Renée Morin, eBay's Chief Sustainability Officer, on Earth Day. She discusses eBay's commitment to sustainability through internal goals, renewable energy, and promoting recommerce. Morin highlights the environmental and economic benefits of secondhand goods and shares her personal passion for sustainability.",0.45201,1.0
20220422T124249,How an eBay UK Seller Has Turned Recommerce Into a Million-Dollar Business,"Carl Walker and his co-founders have built a million-dollar business, Go Thrift, on eBay by selling secondhand clothing. Starting from a small collection of vintage dresses, the company now operates out of a 10,000-square-foot warehouse, focusing on fashion sustainability and global recommerce. Go Thrift's mission is to give new life to pre-loved clothes, keeping them out of landfills and contributing to a healthier planet, while also demonstrating the strong business potential in the growing demand for secondhand goods.",0.439532,1.0
20220425T115400,Pain relievers recalled over child-safety issue,"Telebrands has recalled four of its Hempväna pain relief products due to a child-safety issue. The products, which contain lidocaine, do not have child-resistant packaging as required by the Poison Prevention Packaging Act, posing a poisoning risk to children. Approximately 183,000 units were sold, and while no injuries have been reported, consumers are advised to stop using them and contact Telebrands for disposal information, a refund, or a child-resistant closure.",0.134848,0.730507
20220425T163800,Alibaba Group Holding Ltd. ADR underperforms Monday when compared to competitors,"On Monday, Alibaba Group Holding Ltd. ADR (BABA) saw its stock slump by 0.75% to $85.84, underperforming the broader market and several key competitors. This movement occurred despite a positive trading session for the NASDAQ Composite Index and the Dow Jones Industrial Average. The company's ADR closed significantly below its 52-week high, while competitors like Amazon.com Inc. and eBay Inc. posted gains.",-0.056458,0.604713
20220427T124249,Former eBay security head pleads guilty to harassing Massachusetts couple,"James Baugh, eBay's former senior director of safety and security, pleaded guilty to multiple charges, including conspiracy to commit stalking and witness tampering, in connection with a harassment campaign against a Massachusetts couple. The campaign involved sending disturbing deliveries, online threats, and attempting to install a GPS tracking device on their car. Several other former eBay employees have also pleaded guilty in the case, which stemmed from the couple publishing a newsletter critical of the company.",-0.602677,1.0
20220502T090000,eBay's Authenticity Guarantee Now Includes Graded Trading Cards Through Partnership with PSA,"eBay has expanded its 'Authenticity Guarantee' service to include graded trading cards, partnering with PSA (Professional Sports Authenticator) for verification. Initially, all graded cards sold for $2,000+ in the U.S. will be authenticated by PSA, with plans to extend this service to cards sold for $250+. This initiative aims to bolster buyer confidence and ensure the integrity of the rapidly growing trading card market.",0.549875,1.0
20220502T115205,eBay Launches 2022 'Up & Running Grants' to Support Small Business Success,"eBay has launched its third annual Up & Running Grants program, committing $10,000 grants to 50 small business sellers in the U.S. This initiative aims to help entrepreneurs scale, grow, and thrive online by providing funds for business needs like store improvements, equipment, and hiring. Recipients will also gain access to eBay Academy's online learning content and direct coaching to support their success.",0.473568,1.0
20220505T114400,Alberta used numbered company in legal battle to save Keystone XL pipeline,"The Alberta government, through its Alberta Petroleum Marketing Commission, established several numbered companies in Delaware and Alberta to invest in the ill-fated Keystone XL pipeline project with TC Energy. This arrangement allowed the province to invest up to $7.5 billion in public money and now pursue a $1.3 billion damages claim against the U.S. under NAFTA's legacy rules, despite the project's cancellation by President Biden. The use of obscure Delaware companies highlights efforts to preserve the investment and legal standing, even as the auditor general confirms significant losses.",-0.034257,0.606858
20220505T164215,"The Chernin Group-Led Consortium to Acquire $263 Million in Funko, a Leading Pop Culture Lifestyle Brand","A consortium led by The Chernin Group (TCG) will acquire a $263 million strategic investment in Funko, a pop culture lifestyle brand, taking an 80% stake from ACON Investments. This all-secondary transaction values Funko shares at $21.00 each, with TCG and its consortium owning 25% of the company post-acquisition. The investment includes commercial agreements with eBay Inc. and strategic advising for Funko's growth in content, commerce, and new product categories.",0.294621,0.747904
20220506T122514,20 trustworthy online money-making sites in Kenya in 2026,"This article lists 20 trustworthy online platforms where Kenyans can earn money, detailing various opportunities such as freelancing, affiliate marketing, online surveys, and AI training. It provides guidance for beginners on how to get started, emphasizing that many platforms require minimal skills and can lead to significant income with consistent effort. The article also touches on how to earn money specifically via M-Pesa and clarifies which sites are legitimate for making money online in Kenya.",0.289831,0.604173
20220512T115205,"Our 2021 Diversity, Equity and Inclusion Report","eBay has released its sixth annual Diversity, Equity and Inclusion (DE&I) Report, highlighting a sharpened focus on growing underrepresented employee groups, fostering community, and enhancing accountability for sustainable change. The report emphasizes the integration of grassroots efforts with leadership support, tools, education, and process improvements. Notably, oversight of DE&I has been expanded to the Compensation and Human Capital Committee on eBay’s Board, with executive officer compensation now tied to DE&I goals, marking a significant step toward senior-level accountability.",0.435466,1.0
20220516T090000,eBay and FedEx Extend Alliance in Canada with Shipping Labels Platform Integration,"eBay and FedEx have extended their alliance in Canada, integrating FedEx shipping services directly into eBay Labels. This collaboration offers Canadian e-commerce sellers seamless and cost-effective shipping solutions, including access to domestic and international FedEx services at preferential rates. The move aims to simplify the shipping process for eBay sellers, reflecting the significant growth in e-commerce driven by pre-pandemic projections now hitting earlier than expected.",0.445473,1.0
20220516T115205,eBay partners with FedEx to ease Canadian shipping,"eBay has partnered with FedEx to integrate FedEx shipping services directly into its Canadian online marketplace, eBay Labels. This collaboration aims to provide Canadian sellers with seamless access to domestic and international shipping tools and services at preferential rates, simplifying the shipping process. The partnership also extends FedEx's broader efforts to streamline e-commerce fulfillment for retailers, building on its existing collaboration with Microsoft for ""logistics as a service.""",0.373773,1.0
20220517T163616,eBay Releases Methodology for Calculating Environmental and Financial Benefits of Recommerce and 2021 Impact Report,"eBay has released its methodology for calculating the environmental and financial benefits of recommerce, providing transparency on how avoided carbon emissions and waste impacts are determined. The company also published its 2021 Impact Report, detailing progress toward its 2025 and 2030 sustainability goals, including generating $4 billion in positive economic impact and avoiding significant carbon emissions and waste in 2021. This initiative aims to empower consumers to make informed choices when purchasing pre-owned items and encourages other companies to track their environmental impact.",0.491236,1.0
20220517T163617,eBay Workforce Diversity & Corporate Culture,"eBay's latest Diversity Report indicates improvements in gender diversity within leadership and tech roles, but persistent underrepresentation for Black and Latinx employees, particularly in technical and executive positions. In response, eBay has launched a new ""Culture & Workforce"" page to attract job seekers, highlighting perks and diversity initiatives. The article also touches upon ongoing scrutiny of eBay's corporate culture following a 2019 cyberstalking scandal, suggesting a need for significant cultural rehabilitation efforts.",-0.226367,1.0
20220518T120213,JD.com Opens First Overseas Service Centers in the US,"JD.com has opened two new overseas service centers in Los Angeles and New Jersey, marking its first such venture in the overseas market. These centers will offer comprehensive aftersales and maintenance services for electronics and appliances, supported by JD's air cargo lines and self-operated warehouses in the US. The initiative aims to provide end-to-end supply chain logistics services and reduce repair times for brands and cross-border merchants.",0.111016,0.709846
20220519T115205,Snapchat Reveals Integration With eBay,"Snapchat has integrated with eBay, allowing users to share eBay listings directly through the Snapchat camera on both Android and iOS devices. This feature enables Snapchatters to share items they are interested in or selling with friends, and also helps eBay sellers promote their listings across platforms. The integration aims to connect eBay's large buyer base with Snapchat's social sharing capabilities.",0.529381,1.0
20220520T115205,eBay opens a sneaker store in Los Angeles,"eBay is opening a brick-and-mortar sneaker store called ""Wear ‘Em Out"" on Fairfax Avenue in Los Angeles during Memorial Day weekend. The store will offer exclusive stock of new styles and collectibles. Shoppers who choose to wear their new sneakers out of the store will receive an additional discount, encouraging them to actually wear their purchases rather than keeping them ""on ice.""",0.426191,1.0
20220523T090000,eBay Launches First Collection of NFTs in Partnership with Green Web3 Company OneOf,"eBay has launched its first collection of NFTs in partnership with OneOf, a green Web3 company. The ""Genesis"" NFT Collection features 3D and animated interpretations of Sports Illustrated covers of iconic athletes, starting with Wayne Gretzky. This collaboration aims to make NFTs more accessible to a new generation of collectors, leveraging eBay's global reach and OneOf's eco-conscious technology.",0.487104,1.0
20220523T115205,EBay to open sneaker pop-up in LA,"EBay is launching a ""Wear 'Em Out Store"" pop-up in Los Angeles, dedicated to sneakers, which offers lower prices to customers who wear their purchases out of the store. This initiative, supported by rapper Offset, aims to encourage sneakerheads to wear their collections rather than store them. The pop-up, running Memorial Day weekend, is part of eBay's broader strategy to boost its sneaker category, following investments in authenticity verification and the acquisition of Sneaker Con's authentication arm.",0.317439,1.0
20220527T121512,"PayPal Lays Off Employees As Growth Stagnates After Pandemic Recovery, Supply Chain Disruptions","PayPal has begun laying off employees in risk management and operations roles across several U.S. cities. These job cuts are part of a broader restructuring effort aimed at saving approximately $260 million annually in employee-related costs. The company's growth has stagnated as platform spending slowed significantly in the first quarter, attributed to supply chain disruptions and a return to in-store shopping post-pandemic.",-0.234975,0.732089
20220607T110055,eBay launches a new ‘Vault’ facility for storing valuable trading cards,"eBay has launched a new 31,000-square-foot ""Vault"" facility in Delaware for securely storing valuable trading cards. This service allows cards valued over $750, authenticated by PSA, to be stored, insured, and quickly traded digitally without physical shipping. The initiative aims to reduce risks associated with shipping and streamline transactions for collectors like DJ Skee.",0.476599,1.0
20220608T120000,The IRS Is Coming for Your Venmo Income,"Small-business owners and individuals using platforms like Venmo, PayPal, eBay, and Airbnb will face increased IRS scrutiny due to a new rule. The IRS now requires these services to report gross payments exceeding $600 directly, a significant change from the previous $20,000 threshold. This means more individuals will receive a 1099-K form and need to track their income and sales to ensure compliance, even for casual selling.",0.001521,0.332693
